1	Hallo	hallo	ITJ	ITJ	_	0	root	_	_
2	Julia	Julia	N	NE	Fem|_|Sg	0	root	_	_
3	Ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	_
4	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
5	eine	eine	ART	ART	Indef|Fem|Acc|Sg	6	det	_	_
6	Fahrkarte	Fahrkarte	N	NN	Fem|Acc|Sg	4	obja	_	_
7	meine	meine	ART	PPOSAT	_|Nom|Pl	8	det	_	_
8	Sona	Sona	N	NN	_|Nom|Pl	4	subj	_	_
9	einen	eine	ART	ART	Indef|Masc|Acc|Sg	10	det	_	_
10	Wochenendausflug	Wochenendausflug	N	NN	Masc|Acc|Sg	0	root	_	_
11	gekauft	kaufen	V	VVPP	_	0	root	_	_
12	Leider	leider	ADV	ADV	_	13	adv	_	_
13	känn	känn	V	VVFIN	1|Sg|_|_	0	root	_	_
14	ich	ich	PRO	PPER	1|Sg|_|Nom	13	subj	_	_
15	nicht	nicht	PTKNEG	PTKNEG	_	13	adv	_	_
16	fahren	fahren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
17	Fragen	Frage	N	NN	Fem|Nom|Pl	16	subj	_	_
18	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	gehe	gehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	Senter	Senter	N	NE	_|Dat|_	2	objd	_	_
4	und	und	KON	KON	_	3	kon	_	_
5	Kerche	Kerche	FM	FM	_|Dat|_	4	cj	_	_
6	möchtes	möchtes	FM	FM	_|Dat|_	5	app	_	_
7	du	du	FM	FM	_|Dat|_	6	app	_	_
8	Fragen	Frage	N	NN	_|Dat|_	7	app	_	_
9	.	.	$.	$.	_	0	root	_	_

1	Kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	PRO	PPER	2|Sg|_|Nom	1	subj	_	_
3	das	die	ART	ART	Def|Neut|Acc|Sg	4	det	_	_
4	Ticket	Ticket	N	NN	Neut|Acc|Sg	7	obja	_	_
5	mehrem	mehrem	FM	FM	Neut|Acc|Sg	4	app	_	_
6	u	u	FM	FM	Neut|Acc|Sg	5	app	_	_
7	fahren	fahren	V	VVINF	_	1	aux	_	_
8	Viel	viel	ART	PIDAT	Masc|Dat|Sg	9	det	_	_
9	Gruße	Gruß	N	NN	Masc|Dat|Sg	0	root	_	_
10	Danke	Dank	N	NN	Masc|Dat|Sg	9	app	_	_

