1	Hallo	hallo	ITJ	ITJ	_	0	root	_	_
2	liebe	lieb	ADJA	ADJA	Pos|Masc|_|_|_|	3	attr	_	_
3	Forumleser	Forumleser	N	NN	Masc|_|_	0	root	_	_
4	,	,	$,	$,	_	0	root	_	_
5	In	in	PREP	APPR	Acc	8	pp	_	_
6	meine	meine	ART	PPOSAT	Fem|Acc|Sg	7	det	_	_
7	Meinung	Meinung	N	NN	Fem|Acc|Sg	5	pn	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	es	es	PRO	PPER	3|Sg|Neut|Nom	8	subj	_	_
10	so	so	ADV	ADV	_	8	adv	_	_
11	,	,	$,	$,	_	0	root	_	_
12	dass	dass	KOUS	KOUS	_	14	konj	_	_
13	wir	wir	PRO	PPER	1|Pl|_|Nom	14	subj	_	_
14	können	können	V	VMFIN	1|Pl|Pres|_	8	objc	_	_
15	unsere	unsre	ART	PPOSAT	Fem|Acc|Pl	16	det	_	_
16	Traditionen	Tradition	N	NN	Fem|Acc|Pl	14	obja	_	_
17	machen	machen	V	VVINF	_	0	root	_	_
18	,	,	$,	$,	_	0	root	_	_
19	aber	aber	KON	KON	_	0	root	_	_
20	wir	wir	PRO	PPER	1|Pl|_|Nom	21	subj	_	_
21	müssen	müssen	V	VMFIN	1|Pl|Pres|_	19	cj	_	_
22	auch	auch	ADV	ADV	_	21	adv	_	_
23	des	die	ART	ART	Def|Neut|Gen|Sg	24	det	_	_
24	Gastlandes	Gastland	N	NN	Neut|Gen|Sg	0	root	_	_
25	,	,	$,	$,	_	0	root	_	_
26	Traditionen	Tradition	N	NN	Fem|_|Pl	0	root	_	_
27	wissen	wissen	V	VVINF	_	0	root	_	_
28	.	.	$.	$.	_	0	root	_	_

1	Wenn	wenn	KOUS	KOUS	_	5	konj	_	_
2	wir	wir	PRO	PPER	1|Pl|_|Nom	5	subj	_	_
3	im	in	PREP	APPRART	Dat	5	pp	_	_
4	Ausland	Ausland	N	NN	Neut|Dat|Sg	3	pn	_	_
5	leben	leben	V	VVFIN	1|Pl|Pres|_	0	root	_	_
6	wir	wir	PRO	PPER	1|Pl|_|Nom	0	root	_	_
7	,	,	$,	$,	_	0	root	_	_
8	müssen	müssen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
9	auch	auch	ADV	ADV	_	15	adv	_	_
