1	Lieber	Liebe	N	NN	_|_|_	5	vok	_	_
2	Michael	Michael	N	NE	Masc|_|Sg	1	app	_	_
3	,	,	$,	$,	_	0	root	_	_
4	ich	ich	PRO	PPER	1|Sg|_|Nom	5	subj	_	_
5	freue	freuen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
6	mich	ich	PRO	PRF	1|Sg|Acc	5	obja	_	_
7	sehr	sehr	ADV	ADV	_	5	adv	_	_
8	,	,	$,	$,	_	0	root	_	_
9	weil	weil	KOUS	KOUS	_	14	konj	_	_
10	ich	ich	PRO	PPER	1|Sg|_|Nom	14	subj	_	_
11	deinen	deine	ART	PPOSAT	Masc|Acc|Sg	12	det	_	_
12	Brief	Brief	N	NN	Masc|Acc|Sg	13	obja	_	_
13	bekommen	bekommen	V	VVPP	_	14	aux	_	_
14	habe	haben	V	VAFIN	1|Sg|Pres|_	5	neb	_	_
15	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	wünshe	wünshe	V	VVFIN	1|Sg|_|_	0	root	_	_
3	dir	du	PRO	PPER	2|Sg|_|Dat	2	objd	_	_
4	alles	alle	PRO	PIS	_|_|Sg	3	app	_	_
5	gute	gut	ADJA	ADJA	Pos|_|Acc|_|_|	2	obja	_	_
6	zum	zu	PREP	APPRART	Dat	2	pp	_	_
7	neuen	neu	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	8	attr	_	_
8	Jahr	Jahr	N	NN	Neut|Dat|Sg	6	pn	_	_
9	.	.	$.	$.	_	0	root	_	_

1	Und	und	KON	KON	_	0	root	_	_
2	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	_
3	hoffe	hoffen	V	VVFIN	1|Sg|Pres|_	1	cj	_	_
4	dich	du	PRO	PRF	2|Sg|Acc	3	obja	_	_
5	auf	auf	PREP	APPR	Acc	3	objp	_	_
6	deine	deine	ART	PPOSAT	_|Acc|_	7	det	_	_
7	Ausbilldung	Ausbilldung	N	NN	_|Acc|_	5	pn	_	_
8	viel	viel	ART	PIDAT	Masc|_|Sg	9	det	_	_
