1	21.02.2012	21.02.2012	CARD	CARD	_	2	attr	_	_
2	Liebe	Liebe	N	NN	_|_|Pl	0	root	_	_
3	Dana	Dana	N	NE	Masc|Dat|Sg	2	app	_	_
4	,	,	$,	$,	_	0	root	_	_
5	vielen	viele	ART	PIDAT	Masc|Dat|Sg	6	det	_	_
6	Danke	Dank	N	NN	Masc|Dat|Sg	3	app	_	_
7	für	für	PREP	APPR	Acc	6	pp	_	_
8	Deine	deine	ART	PPOSAT	_|Acc|_	9	det	_	_
9	einladung	einladung	N	NN	_|Acc|_	7	pn	_	_
10	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	_
2	kommen	kommen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
3	gern	gern	ADV	ADV	_	2	adv	_	_
4	zu	zu	PREP	APPR	Dat	2	objp	_	_
5	nigeria	nigeria	ADJA	ADJA	_|_|Dat|_|_	6	attr	_	_
6	Besuchen	Besuch	N	NN	_|Dat|_	4	pn	_	_
7	.	.	$.	$.	_	0	root	_	_

1	aber	aber	ADV	ADV	_	2	adv	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
4	in	in	PREP	APPR	_	7	pp	_	_
5	Stadt	Stadt	N	NN	Fem|_|Sg	4	pn	_	_
6	X	X	N	NE	Fem|_|Sg	5	app	_	_
7	gefahren	fahren	V	VVPP	_	2	aux	_	_
8	,	,	$,	$,	_	0	root	_	_
9	weil	weil	KOUS	KOUS	_	15	konj	_	_
10	ich	ich	PRO	PPER	1|Sg|_|Nom	15	pred	_	_
11	zu	zu	PREP	APPR	Dat	10	pp	_	_
12	Hause	Haus	N	NN	Neut|Dat|Sg	11	pn	_	_
13	am	an	PREP	APPRART	Dat	15	pp	_	_
14	22.03.212	22.03.212	N	NN	_|Dat|_	13	pn	_	_
15	kommen	kommen	V	VVFIN	_|Pl|Pres|_	2	neb	_	_
16	.	.	$.	$.	_	0	root	_	_

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Stadt	Stadt	N	NN	Fem|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	sehr	sehr	ADV	ADV	_	5	adv	_	_
5	schön	schön	ADV	ADJD	Pos|	3	pred	_	_
6	und	und	KON	KON	_	0	root	_	_
7	interesant	interesant	TRUNC	TRUNC	_	0	root	_	_
8	,	,	$,	$,	_	0	root	_	_
9	Deshalb	Deshalb	PROAV	PROAV	_	10	pp	_	_
10	Glücke	Glück	N	NN	Neut|Dat|Sg	0	root	_	_
11	ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	_
12	meine	meine	ART	PPOSAT	Fem|Acc|Sg	14	det	_	_
13	neue	neu	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	14	attr	_	_
