1	Liebe	Liebe	N	NN	_|_|_	5	vok	_	_
2	Ingo	Ingo	N	NE	Masc|_|Sg	1	app	_	_
3	,	,	$,	$,	_	0	root	_	_
4	Ich	ich	PRO	PPER	1|Sg|_|Nom	5	subj	_	_
5	hoffe	hoffen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
6	alles	alle	PRO	PIS	_|_|Sg	5	adv	_	_
7	gute	gut	ADJA	ADJA	Pos|_|_|_|_|	0	root	_	_
8	mit	mit	PREP	APPR	Dat	0	root	_	_
9	dir	du	PRO	PPER	2|Sg|_|Dat	8	pn	_	_
10	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	ein	eine	ART	ART	Indef|Neut|Acc|Sg	5	det	_	_
4	groß	groß	ADV	ADJD	Pos|	5	adv	_	_
5	Naricht	Naricht	N	NN	Neut|Acc|Sg	2	obja	_	_
6	Für	für	PREP	APPR	Acc	5	pp	_	_
7	dich	du	PRO	PPER	2|Sg|_|Acc	6	pn	_	_
8	!	!	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	eine	eine	ART	ART	Indef|Fem|Acc|Sg	5	det	_	_
4	neue	neu	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	5	attr	_	_
5	Arbeit	Arbeit	N	NN	Fem|Acc|Sg	8	obja	_	_
6	in	in	PREP	APPR	_	8	pp	_	_
7	Neuburg	Neuburg	N	NN	Fem|_|Sg	6	pn	_	_
8	gefunden	finden	V	VVPP	_	2	aux	_	_
9	.	.	$.	$.	_	0	root	_	_

1	So	so	ADV	ADV	_	0	root	_	_
2	,	,	$,	$,	_	0	root	_	_
3	Ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	_
4	brauche	brauchen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	eine	eine	ART	ART	Indef|Fem|Acc|Sg	6	det	_	_
6	Wohnung	Wohnung	N	NN	Fem|Acc|Sg	4	obja	_	_
7	dar	dar	PTKVZ	PTKVZ	_	4	avz	_	_
8	.	.	$.	$.	_	0	root	_	_

1	Du	du	PRO	PPER	2|Sg|_|Nom	2	subj	_	_
2	wohnst	wohnen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	in	in	PREP	APPR	_	2	objp	_	_
4	Neuburg	Neuburg	N	NN	Fem|_|Sg	3	pn	_	_
5	.	.	$.	$.	_	0	root	_	_

1	Könntest	können	V	VMFIN	2|Sg|Past|Subj	0	root	_	_
2	du	du	PRO	PPER	2|Sg|_|Nom	1	subj	_	_
