1_1,Ein Haus,Ein ART Indef|Neut|_|Sg,Haus N Neut|_|Sg,"Ein Haus , oder eine Wohnung zu mieten oder kaufen in Stadt X könnte entweder teuer oder billig sein ."
1_2,eine Wohnung,eine ART Indef|Fem|Acc|Sg,Wohnung N Fem|Acc|Sg,"Ein Haus , oder eine Wohnung zu mieten oder kaufen in Stadt X könnte entweder teuer oder billig sein ."
1_3,in Stadt,in PREP _,Stadt N Fem|_|Sg,"Ein Haus , oder eine Wohnung zu mieten oder kaufen in Stadt X könnte entweder teuer oder billig sein ."
2_4,an die Ort,an PREP Acc,die ART Def|_|_|_,Ort N _|Acc|_,Das kommt darauf an die Ort und der Umgebung wo man leben möchte .
2_5,der Umgebung,der ART Def|Fem|_|Sg,Umgebung N Fem|_|Sg,Das kommt darauf an die Ort und der Umgebung wo man leben möchte .
3_6,Studenten z.B.,Studenten N Masc|Nom|Pl,z.B. N Masc|Nom|Pl,"Studenten , z.B. , werden es immer schaffen Geld zu sparen , da es Studentenwohnungen gibt , die ganz billig und günstig sein könnten ."
3_7,Studenten z.B.,Studenten N Masc|Nom|Pl,z.B. N Masc|Nom|Pl,"Studenten , z.B. , werden es immer schaffen Geld zu sparen , da es Studentenwohnungen gibt , die ganz billig und günstig sein könnten ."
3_8,Geld,Geld N Neut|Acc|Sg,"Studenten , z.B. , werden es immer schaffen Geld zu sparen , da es Studentenwohnungen gibt , die ganz billig und günstig sein könnten ."
3_9,Studentenwohnungen,Studentenwohnungen N Fem|Acc|Pl,"Studenten , z.B. , werden es immer schaffen Geld zu sparen , da es Studentenwohnungen gibt , die ganz billig und günstig sein könnten ."
4_10,Studenten,Studenten N Masc|Nom|Pl,"Mansche Studenten suchen sich diese Studentenwohnungen , in Orten wie Stadtteil X oder Stadtteil Y aus , weil die Umgebung ganz lebendig und „ Multikulti "" sein könnte ."
4_11,X diese Studentenwohnungen,X N _|Acc|Sg,diese ART Fem|Acc|Pl,Studentenwohnungen N Fem|Acc|Pl,"Mansche Studenten suchen sich diese Studentenwohnungen , in Orten wie Stadtteil X oder Stadtteil Y aus , weil die Umgebung ganz lebendig und „ Multikulti "" sein könnte ."
4_12,in Orten,in PREP _,Orten N _|_|_,"Mansche Studenten suchen sich diese Studentenwohnungen , in Orten wie Stadtteil X oder Stadtteil Y aus , weil die Umgebung ganz lebendig und „ Multikulti "" sein könnte ."
4_13,Stadtteil,Stadtteil N _|_|Sg,"Mansche Studenten suchen sich diese Studentenwohnungen , in Orten wie Stadtteil X oder Stadtteil Y aus , weil die Umgebung ganz lebendig und „ Multikulti "" sein könnte ."
4_15,Stadtteil Y,Stadtteil N _|Acc|Sg,Y N _|Acc|Sg,"Mansche Studenten suchen sich diese Studentenwohnungen , in Orten wie Stadtteil X oder Stadtteil Y aus , weil die Umgebung ganz lebendig und „ Multikulti "" sein könnte ."
4_16,Stadtteil Y,Stadtteil N _|Acc|Sg,Y N _|Acc|Sg,"Mansche Studenten suchen sich diese Studentenwohnungen , in Orten wie Stadtteil X oder Stadtteil Y aus , weil die Umgebung ganz lebendig und „ Multikulti "" sein könnte ."
4_17,die Umgebung,die ART Def|Fem|_|Sg,Umgebung N Fem|_|Sg,"Mansche Studenten suchen sich diese Studentenwohnungen , in Orten wie Stadtteil X oder Stadtteil Y aus , weil die Umgebung ganz lebendig und „ Multikulti "" sein könnte ."
5_18,Für Menschen Orten,Für PREP Acc,Menschen N Neut|Acc|Sg,Orten N Neut|Acc|Sg,"Für Menschen , die ein ruhiges Leben erhalten wollen , die auch bereits sind , mehr Geld auszugeben , Orten wie Stadtteil Z wurde empfehlen ."
5_19,ein ruhiges Leben,ein ART Indef|Neut|Acc|Sg,ruhiges ADJA Pos|Neut|Acc|Sg|St|,Leben N Neut|Acc|Sg,"Für Menschen , die ein ruhiges Leben erhalten wollen , die auch bereits sind , mehr Geld auszugeben , Orten wie Stadtteil Z wurde empfehlen ."
5_20,mehr Geld,mehr ART Neut|Acc|Sg,Geld N Neut|Acc|Sg,"Für Menschen , die ein ruhiges Leben erhalten wollen , die auch bereits sind , mehr Geld auszugeben , Orten wie Stadtteil Z wurde empfehlen ."
5_21,Menschen Orten,Menschen N Neut|Acc|Sg,Orten N Neut|Acc|Sg,"Für Menschen , die ein ruhiges Leben erhalten wollen , die auch bereits sind , mehr Geld auszugeben , Orten wie Stadtteil Z wurde empfehlen ."
5_22,Stadtteil Z,Stadtteil N Neut|_|_,Z N Neut|Acc|_,"Für Menschen , die ein ruhiges Leben erhalten wollen , die auch bereits sind , mehr Geld auszugeben , Orten wie Stadtteil Z wurde empfehlen ."
5_23,Stadtteil Z,Stadtteil N Neut|_|_,Z N Neut|Acc|_,"Für Menschen , die ein ruhiges Leben erhalten wollen , die auch bereits sind , mehr Geld auszugeben , Orten wie Stadtteil Z wurde empfehlen ."
6_26,von Zentralplatz,von PREP Dat,Zentralplatz N Masc|Dat|Sg,Orten in der Nähe von Zentralplatz bis Bahnhofsstraße wären die ideale Umgebung für Familien .
6_27,bis Bahnhofsstraße,bis PREP Acc,Bahnhofsstraße N _|Acc|_,Orten in der Nähe von Zentralplatz bis Bahnhofsstraße wären die ideale Umgebung für Familien .
6_29,für Familien,für PREP Acc,Familien N Fem|Acc|Pl,Orten in der Nähe von Zentralplatz bis Bahnhofsstraße wären die ideale Umgebung für Familien .
7_30,Solche Straßen,Solche ART Fem|Nom|Pl,Straßen N Fem|Nom|Pl,"Solche Straßen bieten immer freie Wohnungen an , die normalerweiße in der Ecke von dem Einkaufszentrum sind ."
7_31,freie Wohnungen,freie ADJA Pos|_|Acc|_|_|,Wohnungen N _|Acc|_,"Solche Straßen bieten immer freie Wohnungen an , die normalerweiße in der Ecke von dem Einkaufszentrum sind ."
7_33,von dem Einkaufszentrum,von PREP Dat,dem ART Def|_|Dat|Sg,Einkaufszentrum N _|Dat|Sg,"Solche Straßen bieten immer freie Wohnungen an , die normalerweiße in der Ecke von dem Einkaufszentrum sind ."
8_34,ein Haus,ein ART Indef|Neut|Acc|Sg,Haus N Neut|Acc|Sg,"Wenn man jedoch ein Haus kaufen möchte , man sollte aber auch bereit sein , mehrere Verantwortungen zu übernehmen ."
8_35,mehrere Verantwortungen,mehrere ART _|Acc|_,Verantwortungen N _|Acc|_,"Wenn man jedoch ein Haus kaufen möchte , man sollte aber auch bereit sein , mehrere Verantwortungen zu übernehmen ."
9_37,mit dem Mieten Wohnung,mit PREP Dat,dem ART Def|Neut|Dat|Sg,Mieten N Neut|Dat|Sg,Wohnung N Fem|Gen|Sg,Im vergleich mit dem Mieten einer Wohnung ist das Hauskaufen schwieriger .
9_38,Mieten einer Wohnung,Mieten N Neut|Dat|Sg,einer ART Indef|Fem|Gen|Sg,Wohnung N Fem|Gen|Sg,Im vergleich mit dem Mieten einer Wohnung ist das Hauskaufen schwieriger .
9_39,Hauskaufen das,Hauskaufen N Neut|Nom|Sg,das ART Def|Neut|Nom|Sg,Im vergleich mit dem Mieten einer Wohnung ist das Hauskaufen schwieriger .
10_40,auf die Ort,auf PREP Acc,die ART Def|_|_|_,Ort N _|Acc|_,"Man achtet nicht nur auf die Ort wo man sein Haus haben möchte , aber auch auf die andere Voraussetzungen die immer nachgefragt wurden ."
10_41,sein Haus,sein ART Neut|Acc|Sg,Haus N Neut|Acc|Sg,"Man achtet nicht nur auf die Ort wo man sein Haus haben möchte , aber auch auf die andere Voraussetzungen die immer nachgefragt wurden ."
10_42,auf die andere Voraussetzungen,auf PREP Acc,die ART Def|Fem|Acc|Pl,andere ADJA _|Fem|Acc|Pl|_,Voraussetzungen N Fem|Acc|Pl,"Man achtet nicht nur auf die Ort wo man sein Haus haben möchte , aber auch auf die andere Voraussetzungen die immer nachgefragt wurden ."
