1	Wohnungsmarkt	Wohnungsmarkt	N	NN	Masc|_|Sg	0	root	_	_
2	in	in	PREP	APPR	Acc	1	pp	_	_
3	mein	meine	ART	PPOSAT	_|_|Sg	4	det	_	_
4	Stadt	Stadt	N	NN	Neut|Acc|Sg	2	pn	_	_
5	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	wohn	wohn	V	VVFIN	1|Sg|_|_	0	root	_	_
3	in	in	PREP	APPR	Acc	7	pp	_	_
4	eine	eine	ART	ART	Indef|Fem|Acc|Sg	6	det	_	_
5	kleine	klein	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	6	attr	_	_
6	Stadt	Stadt	N	NN	Fem|Acc|Sg	3	pn	_	_
7	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	Stadt	Stadt	N	NN	Fem|Nom|Sg	7	subj	_	_
9	X.	X.	N	NE	Fem|Nom|Sg	8	app	_	_

1	Nicht	nicht	PTKNEG	PTKNEG	_	4	adv	_	_
2	so	so	ADV	ADV	_	3	adv	_	_
3	viele	viele	ART	PIDAT	_|Nom|Pl	4	det	_	_
4	Leute	Leute	N	NN	_|Nom|Pl	5	subj	_	_
5	wohnen	wohnen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	in	in	PREP	APPR	Acc	5	pp	_	_
7	diese	diese	ART	PDAT	Fem|Acc|Sg	8	det	_	_
8	Stadt	Stadt	N	NN	Fem|Acc|Sg	6	pn	_	_
9	.	.	$.	$.	_	0	root	_	_

1	In	in	PREP	APPR	Acc	4	objp	_	_
2	meine	meine	ART	PPOSAT	Fem|Acc|Sg	3	det	_	_
3	Stadt	Stadt	N	NN	Fem|Acc|Sg	1	pn	_	_
4	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	es	es	PRO	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	keine	keine	ART	PIAT	Fem|Acc|Pl	7	det	_	_
7	Wohnungen	Wohnung	N	NN	Fem|Acc|Pl	4	obja	_	_
8	.	.	$.	$.	_	0	root	_	_

1	Viele	viele	ART	PIDAT	_|Nom|Pl	2	det	_	_
2	Leute	Leute	N	NN	_|Nom|Pl	3	subj	_	_
3	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
4	einige	einige	ART	PIAT	_|Acc|Pl	5	det	_	_
5	Häuser	Haus	N	NN	_|Acc|Pl	3	obja	_	_
6	.	.	$.	$.	_	0	root	_	_

1	Nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	_
2	große	groß	ADJA	ADJA	Pos|_|_|_|_|	3	attr	_	_
3	Häuser	Haus	N	NN	_|_|_	0	root	_	_
4	,	,	$,	$,	_	0	root	_	_
5	dass	dass	KOUS	KOUS	_	6	konj	_	_
6	bedeutet	bedeuten	V	VVFIN	3|Sg|Pres|Ind	3	objc	_	_
7	FamielenHäuser	FamielenHäuser	N	NE	_|Nom|Sg	6	subj	_	_
8	.	.	$.	$.	_	0	root	_	_

1	Für	für	PREP	APPR	Acc	4	pp	_	_
2	die	die	ART	ART	Def|_|Acc|Pl	3	det	_	_
3	Leute	Leute	N	NN	_|Acc|Pl	1	pn	_	_
4	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
5	kein	keine	ART	PIAT	Masc|Nom|Sg	7	det	_	_
6	privat	privat	ADJA	ADJA	_|Masc|Nom|Sg|_	7	attr	_	_
7	Häuser	Haus	N	NN	Masc|Nom|Sg	0	root	_	_
8	sollen	sollen	V	VMINF	_	0	root	_	_
9	ein	eine	ART	ART	Indef|Neut|Acc|Sg	10	det	_	_
10	Zimmer	Zimmer	N	NN	Neut|Acc|Sg	11	obja	_	_
11	mieten	mieten	V	VVINF	_	0	root	_	_
12	.	.	$.	$.	_	0	root	_	_

1	Leben	Leben	N	NN	Neut|Nom|Sg	6	subj	_	_
2	in	in	PREP	APPR	_	1	pp	_	_
3	ein	eine	ART	ART	Indef|_|_|Sg	5	det	_	_
